French,English
partie,part
histoire,history
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
sois,be
tiens,here
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
